2	-20.0
3	-21.0
4	-21.0
5	-21.0
6	-19.0
7	-19.0
8	-20.0
9	-21.0
10	-21.0
11	-20.0
12	-20.0
13	-21.0
14	-21.0
15	-20.0
16	-21.0
17	-21.0
18	-20.0
19	-21.0
20	-21.0
21	-21.0
22	-16.0
23	-21.0
24	-20.0
25	-19.0
26	-19.0
27	-21.0
28	-21.0
29	-20.0
30	-21.0
31	-21.0
32	-20.0
33	-21.0
34	-20.0
35	-21.0
36	-21.0
37	-19.0
38	-20.0
39	-21.0
40	-21.0
41	-21.0
42	-21.0
43	-20.0
44	-21.0
45	-21.0
46	-21.0
47	-21.0
48	-21.0
49	-19.0
50	-20.0
51	-21.0
52	-20.0
53	-21.0
54	-20.0
55	-21.0
56	-20.0
57	-21.0
58	-21.0
59	-21.0
60	-21.0
61	-21.0
62	-21.0
63	-21.0
64	-21.0
65	-21.0
66	-21.0
67	-19.0
68	-20.0
69	-20.0
70	-20.0
71	-20.0
72	-21.0
73	-21.0
74	-21.0
75	-21.0
76	-21.0
77	-18.0
78	-20.0
79	-21.0
80	-21.0
81	-19.0
82	-21.0
83	-21.0
84	-21.0
85	-21.0
86	-21.0
87	-21.0
88	-21.0
89	-21.0
90	-18.0
91	-21.0
92	-21.0
93	-20.0
94	-20.0
95	-20.0
96	-20.0
97	-21.0
98	-20.0
99	-21.0
100	-20.0
101	-21.0
102	-21.0
103	-21.0
104	-21.0
105	-21.0
106	-20.0
107	-21.0
108	-20.0
109	-20.0
110	-20.0
111	-21.0
112	-21.0
113	-20.0
114	-20.0
115	-21.0
116	-21.0
117	-18.0
118	-21.0
119	-21.0
120	-21.0
121	-18.0
122	-21.0
123	-21.0
124	-21.0
125	-20.0
126	-20.0
127	-19.0
128	-17.0
129	-18.0
130	-20.0
131	-21.0
132	-19.0
133	-19.0
134	-21.0
135	-19.0
136	-18.0
137	-21.0
138	-20.0
139	-19.0
140	-21.0
141	-21.0
142	-20.0
143	-21.0
144	-21.0
145	-18.0
146	-21.0
147	-21.0
148	-21.0
149	-20.0
150	-21.0
151	-20.0
152	-20.0
153	-21.0
154	-19.0
155	-21.0
156	-21.0
157	-20.0
158	-20.0
159	-21.0
160	-21.0
161	-18.0
162	-20.0
163	-20.0
164	-20.0
165	-20.0
166	-19.0
167	-21.0
168	-19.0
169	-19.0
170	-21.0
171	-19.0
172	-20.0
173	-19.0
174	-19.0
175	-21.0
176	-20.0
177	-19.0
178	-17.0
